market_id,inspection_date,inspection_score,electrical_wiring_risk,fuel_storage_risk,exit_access_score,hydrant_access_score
MK019,2025-08-28,51.9,69.9,23.6,28.2,64.1
MK019,2025-10-12,64.5,92.9,35.4,37.9,66.3
MK019,2025-11-26,77.0,87.2,22.0,30.8,71.9
MK020,2025-01-15,81.1,14.9,22.1,22.9,31.9
MK020,2025-03-01,54.4,26.1,22.4,23.6,34.2
MK020,2025-04-15,65.7,32.2,21.4,9.2,25.6
MK020,2025-05-30,82.1,21.1,23.2,17.1,35.6
MK020,2025-07-14,82.4,23.2,28.7,22.8,19.3
MK020,2025-08-28,95.7,3.3,25.7,19.1,38.2
MK020,2025-10-12,96.9,22.3,21.4,22.0,28.7
MK020,2025-11-26,92.0,28.6,20.9,23.9,36.0
MK021,2025-01-15,65.5,78.8,22.3,76.2,26.7
MK021,2025-03-01,61.7,66.7,21.0,69.9,33.9
MK021,2025-04-15,85.8,69.4,17.6,90.3,23.0
MK021,2025-05-30,61.5,72.2,20.0,76.3,34.0
MK021,2025-07-14,69.7,82.6,13.0,82.4,27.4
MK021,2025-08-28,50.4,62.4,20.3,84.3,30.8
MK021,2025-10-12,87.2,62.1,14.9,66.0,25.8
MK021,2025-11-26,57.4,81.6,39.2,72.1,39.9
MK022,2025-01-15,53.3,32.0,10.7,90.5,64.3
MK022,2025-03-01,81.8,22.0,0.0,94.0,61.9
MK022,2025-04-15,76.5,33.3,13.6,91.2,59.7
MK022,2025-05-30,98.0,32.7,19.8,93.1,69.4
MK022,2025-07-14,65.3,42.2,12.1,93.7,66.7
MK022,2025-08-28,67.0,38.8,0.0,85.3,71.4
MK022,2025-10-12,65.4,45.1,5.0,83.2,62.2
MK022,2025-11-26,56.9,33.8,16.3,87.9,65.7
MK023,2025-01-15,53.2,82.4,74.8,50.0,21.9
MK023,2025-03-01,51.7,76.6,89.0,53.9,21.8
MK023,2025-04-15,91.3,71.6,72.7,50.4,31.6
MK023,2025-05-30,68.9,89.1,75.3,54.7,22.8
MK023,2025-07-14,86.0,92.6,56.2,42.5,20.0
MK023,2025-08-28,86.1,84.3,78.6,52.2,29.4
MK023,2025-10-12,89.5,80.3,82.5,56.1,19.9
MK023,2025-11-26,71.5,79.7,74.8,63.3,8.6
MK024,2025-01-15,59.2,74.9,38.8,63.5,41.1
MK024,2025-03-01,77.2,77.5,61.4,75.8,47.6
MK024,2025-04-15,52.4,75.2,26.4,64.3,44.1
MK024,2025-05-30,86.4,71.6,35.6,65.9,52.3
MK024,2025-07-14,75.1,73.8,48.5,60.2,53.9
MK024,2025-08-28,50.1,73.4,39.2,67.2,53.8
MK024,2025-10-12,92.7,96.7,49.8,63.5,54.6
MK024,2025-11-26,60.3,100.0,31.9,59.4,59.0
